persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,source_dataset_path_dataset
codelist_mapping_effortunit_wcpfc_effortunit_rfmos,Code list mapping: units of fishing effort used by WCPFC to units of fishing effort used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for units of fishing effort used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes for units of fishing effort used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-04-05,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,unit.effortunit_mapping,http://data.d4science.org/dVU3aFBuUGx0Vlprd05NNWIrSFpaSjk5NTc4ZjhVYXhHbWJQNStIS0N6Yz0
codelist_mapping_flag_ccsbt_flag_fao_cwp,Code list mapping: flags used by CCSBT to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2017-05-09,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/N1JBd1FPNU5VQWxrd05NNWIrSFpaR1lDVTJCRGtpbkdHbWJQNStIS0N6Yz0
codelist_mapping_flag_iattc_flag_fao_cwp,Code list mapping: flags used by IATTC to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Inter-American Tropical Tuna Commission (IATTC) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-03-14,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/R1JRSlBqU25hQWhrd05NNWIrSFpaREc3UW5aNXpMR3RHbWJQNStIS0N6Yz0
codelist_mapping_flag_iccat_flag_fao_cwp,Code list mapping: flags used by ICCAT task2 datasets to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) catch-and-efforts (task 2) datasets and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-04-05,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/S29zS2FIYUVPUlprd05NNWIrSFpaRnduVkVyZ3JXY1NHbWJQNStIS0N6Yz0
codelist_mapping_flag_iccat_from_ncandcas_flag_fao_cwp,"Code list mapping: codes for flags used by ICCAT nominal catch, catch-at-size and catch-and-effort by operation mode datasets to ISO countries or areas codes",ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Mapping (i.e. correspondance) between codes for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) nominal catch (task 1), catch-at-size and catch-and-effort by operation mode (task 2 by opeation mode) datasets and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.",,2016-07-04,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/c3UrclE4Z2pTbUJrd05NNWIrSFpaTkRRNlBHTnEvVXBHbWJQNStIS0N6Yz0
codelist_mapping_flag_iccat_from_ncandcas_flag_iccat,"Code list mapping: codes for flags used by ICCAT nominal catch, catch-at-size and catch-and-effort by operation mode datasets to codes for flags used by ICCAT catch-and-effort standard datasets",ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"Mapping (i.e. correspondance) between codes for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) nominal catch (task 1), catch-at-size and catch-and-effort by operation mode (task 2 by operation mode) datasets and codes for flags used in ICCAT task2 datasets. This mapping was realized by IRD.",,2017-03-09,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/amgvcndTUm44NVprd05NNWIrSFpaUGxGMHRaRFVpdUZHbWJQNStIS0N6Yz0
codelist_mapping_flag_iotc_flag_fao_cwp,Code list mapping: flags used by IOTC to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Indian Ocean Tuna Commission (IOTC) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-03-14,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/N0lUM1JlODA4WlJrd05NNWIrSFpaTU1JT2JsWVRnZ3NHbWJQNStIS0N6Yz0
codelist_mapping_flag_wcpfc_flag_fao_cwp,Code list mapping: flags used by WCPFC to ISO countries or areas codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for flags used by the Western and Central Pacific Fisheries Commission (WCPFC) and 3-alpha country or area code of the International Organization for Standardization (ISO). This mapping was realized by IRD.,,2016-03-14,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,flag.flag_mapping,http://data.d4science.org/aUlEM2kzMzN1eVJrd05NNWIrSFpaUGZnQXY2dFBncTJHbWJQNStIS0N6Yz0
codelist_mapping_gear_ccsbt_geargroup_tunaatlas,Code list mapping: gears used by CCSBT to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-04-13,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/K2RvZHE3SzF3UVZrd05NNWIrSFpaTlN0Y1NyZFNNQ1lHbWJQNStIS0N6Yz0
codelist_mapping_gear_ccsbt_isscfg_revision_1,Code list mapping: gears used by CCSBT to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-04-25,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/ZlNTNDVrZTg2bjFrd05NNWIrSFpaUFBrUGRJYnIwWXZHbWJQNStIS0N6Yz0
codelist_mapping_gear_iattc_geargroup_tunaatlas,Code list mapping: gears used by IATTC to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Inter-American Tropical Tuna Commission (IATTC) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/cmtyZnMrQ3NuUWhrd05NNWIrSFpaSXZ3RzVHWVRZQ3ZHbWJQNStIS0N6Yz0
codelist_mapping_gear_iattc_isscfg_revision_1,Code list mapping: gears used by IATTC to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Inter-American Tropical Tuna Commission (IATTC) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-03-20,,,,,,IATTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/WFNQdGczUTdDUVZrd05NNWIrSFpaQXV0My80NHNQNTdHbWJQNStIS0N6Yz0
codelist_mapping_gear_iccat_geargroup_tunaatlas,Code list mapping: gears used by ICCAT to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/L0tRVnhhY1FtR1prd05NNWIrSFpaSlV6RFJSRFgxRk1HbWJQNStIS0N6Yz0
codelist_mapping_gear_iccat_isscfg_revision_1,Code list mapping: gears used by ICCAT to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-06-06,,,,,,ICCAT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/NlBaWU9zVGcrdzlrd05NNWIrSFpaUDZRb2RTR2w5MlJHbWJQNStIS0N6Yz0
codelist_mapping_gear_iotc_geargroup_tunaatlas,Code list mapping: gears used by IOTC to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Indian Ocean Tuna Commission (IOTC) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/Q3c2V2lTbm10QmRrd05NNWIrSFpaTTQ1K1c0RFpJbjNHbWJQNStIS0N6Yz0
codelist_mapping_gear_iotc_isscfg_revision_1,Code list mapping: gears used by IOTC to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Indian Ocean Tuna Commission (IOTC) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-03-20,,,,,,IOTC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/ZDRIeVdTVGs0UHRrd05NNWIrSFpaUDIvQys2Wk5JZ3NHbWJQNStIS0N6Yz0
codelist_mapping_gear_wcpfc_geargroup_tunaatlas,Code list mapping: gears used by WCPFC to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes for groups of gears used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2016-03-14,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/K3VWc0liY3NQcUprd05NNWIrSFpaTjM2SWl5MGhaN0xHbWJQNStIS0N6Yz0
codelist_mapping_gear_wcpfc_isscfg_revision_1,Code list mapping: gears used by WCPFC to the ISSCFG codes,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for gears used by the Western and Central Pacific Fisheries Commission (WCPFC) and codes of the International Standard Statistical Classification of Fishing Gear (ISSCFG). This mapping was realized by the CCSBT in collaboration with IRD and the Food and Agriculture Organization of the United Nations in the frame of the Coordinating Working Party on Fishery Statistics (CWP) activities.,,2017-03-20,,,,,,WCPFC,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/Z0VKM3N6SnVYK2Rrd05NNWIrSFpaT0gyaC80dEEzMlVHbWJQNStIS0N6Yz0
codelist_mapping_isscfg_revision_1_geargroup_tunaatlas,Code list mapping: gears used in the ISSCFG to groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list mapping: gears used in the ISSCFG to groups of gears used in the IRD Tuna Atlas,,2017-05-10,,,,,,IRD,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,gear.gear_mapping,http://data.d4science.org/c2dBalRoRUxHSlZrd05NNWIrSFpaTjlRbnJvb3JsamhHbWJQNStIS0N6Yz0
codelist_mapping_schooltype_ccsbt_schooltype_rfmos,Code list mapping: types of schools used by CCSBT to types of schools used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Mapping (i.e. correspondance) between codes for types of schools used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT) and codes for types of schools used in the French National Research Institute for Sustainable Development (IRD) Tuna Atlas. This mapping was realized by IRD.,,2017-05-09,,,,,,CCSBT,"step1: Codes from source and target code lists were matched.
step2: The resulting CSV file of mapping was integrated into the Sardara database.",,schooltype.schooltype_mapping,http://data.d4science.org/RGdSQTZtVHFGaFJrd05NNWIrSFpaTzRQc1pxektSNmRHbWJQNStIS0N6Yz0
