persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,source_dataset_path_dataset
species_asfis,ASFIS List of Species for Fishery Statistics Purposes,FAO-HQ@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,luca.garibaldi@fao.org,luca.garibaldi@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr,,,"The FAO Fisheries and Aquaculture Statistics and Information Branch (FIAS) collates world capture and aquaculture production statistics at either the species, genus, family or higher taxonomic levels in 2 269 statistical categories (2015 data) referred to as species items.

ASFIS list of species includes 12 721 species items selected according to their interest or relation to fisheries and aquaculture. For each species item stored in a record, codes (ISSCAAP group, taxonomic and 3-alpha) and taxonomic information (scientific name, author(s), family, and higher taxonomic classification) are provided. An English name is available for most of the records, and about one third of them have also a French and Spanish name. Information is also provided about the availability of fishery production statistics on the species item in the FAO databases.",,2016-03-10,,,http://www.fao.org/fishery/collection/asfis/en,,,FAO,"step1: The code list was downloaded on the 2016-03-10 at this url: http://www.fao.org/fishery/static/ASFIS/ASFIS_sp.zip reached through this web page: http://www.fao.org/fishery/collection/asfis/en
step2: The code list was transformed in CSV format.
step3: The code list was integrated into the Sardara database.",,species.species_asfis,
catchtype_iattc,Code list for types of catch used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Inter-American Tropical Tuna Commission (IATTC). Presently, the IATTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2016-04-05,,,,,,IATTC,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_iattc,
effortunit_iattc,Code list for units of fishing effort used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input various IATTC public domain datasets.,,2016-03-11,,,,,,IATTC,"step1: The IATTC public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_iattc,
flag_iattc,Code list for flags used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Inter-American Tropical Tuna Commission (IATTC). This code list was downloaded in the the IATTC website.,,2016-03-11,,,http://www.iattc.org/Standard-Codes/StdFlgCodes1.htm,,,IATTC,"step1: The code list of flags released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdFlgCodes1.htm was downloaded.
step2: The code list was integrated into the Sardara database",,flag.flag_iattc,
gear_iattc,Code list for fishing gears used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets.,,2016-03-14,,,,,,IATTC,"step1: The code list of fishing gears released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdGearCodes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for fishing gears used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for fishing gears in these datasets were identified. A code list for gear was reconstitued.
step4: The code list was integrated into the Sardara database",,gear.gear_iattc,
geargroup_iattc,Codes used for groups of gears in IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for groups of gears used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets. Since IATTC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.",,2016-05-13,,,,,,IATTC,"step1: The code list of fishing gears released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdGearCodes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for fishing gears used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for fishing gears in these datasets were identified. A code list for gears was reconstitued. Since IATTC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.
step4: The code list was integrated into the Sardara database",,gear.geargroup_iattc,
schooltype_iattc,Code list for types of schools used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input various IATTC public domain datasets.,,2017-03-01,,,,,,IATTC,"step1: The IATTC public domain catch-and-effort were downloaded.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of school was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_iattc,
species_iattc,Code list for species used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets.,,2016-03-10,,,http://www.iattc.org/Standard-Codes/StdSpeciesCodes1.htm,,,IATTC,"step1: The code list of species released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdSpeciesCodes1.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for species used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step4: The code list was integrated into the Sardara database",,species.species_iattc,
iccat_stock_areas,ICCAT stock areas,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"The stock areas of the International Commission for the Conservation of Atlantic Tunas (ICCAT). In absence of information regarding the geospatial component for these areas, the whole ICCAT area of competence was set for all the codes of this code list.
Additional informations can be found here: https://www.iccat.int/Data/ICCAT_maps.pdf",,2017-04-05,,,,,,ICCAT,"step1: The ICCAT task 1 public domain dataset was downloaded on the ICCAT website.
step2: The codes and labels used for sampling areas in these datasets were identified. A code list for stock areas was reconstitued.
step3: The geographical component of this code list was added. In absence of information regarding the geospatial component for these areas, the whole ICCAT area of competence was set for all the codes of this code list.
step4: The code list was integrated into the Sardara database.
",,area.iccat_stock_areas,
sampling_areas_iccat,ICCAT sampling areas,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"The sampling areas of the International Commission for the Conservation of Atlantic Tunas (ICCAT). Under revision in 2016.
Additional informations can be found here: https://www.iccat.int/Data/ICCAT_maps.pdf",,2016-03-28,,,http://www.iccat.int/Data/ICCAT_maps.pdf,,,ICCAT,"step1: The ICCAT task 1 public domain dataset was downloaded on the ICCAT website.
step2: The codes and labels used for sampling areas in these datasets were identified. A code list for sampling areas was reconstitued.
step3: The geographical component of this code list was added for a sample of the codes only. In absence of information regarding the geospatial component for the other codes, the whole ICCAT area of competence was set.
step4: The code list was integrated into the Sardara database.
",,area.sampling_areas_iccat,
catchtype_iccat,Code list for types of catch used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of catches used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input the ICCAT nominal catch (task 1) dataset.,,2016-04-05,,,,,,ICCAT,"step1: The ICCAT nominal catch (task1) public domain datasets was downloaded.
step2: The codes and labels used for types of catch in this dataset were identified. A code list for types of catch was reconstitued.
step3: The code list was integrated into the Sardara database",,catchtype.catchtype_iccat,
effortunit_iccat,Code list for units of fishing effort used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-11,,,https://www.iccat.int/en/Stat_Codes.htm,,,ICCAT,"step1: The code list of units of efforts released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for units of efforts used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step4: The code list was integrated into the Sardara database",,unit.effortunit_iccat,
flag_iccat,Code list for flags used by ICCAT in catch-and_effort (task2) datasets,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) in the catch-and-effort (task 2) datasets. This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-11,,,https://www.iccat.int/en/Stat_Codes.htm,,,ICCAT,"step1: The code list of flags released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: The ICCAT public domain catch-and-effort (task2) was downloaded.
step3: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step4: The code list was integrated into the Sardara database",,flag.flag_iccat,
flag_iccat_from_ncandcas,Code list for flags used by ICCAT in catch-and_effort by fishing mode (task2 catch/effort by operation mode) and nominal catch (task1) datasets,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) in the nominal catch (task 1), catch-at-size and catch-and-effort (task2) by fishing mode datasets. This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.",,2016-07-04,,,,,,ICCAT,"step1: The code list of flags released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: The ICCAT public domain datasets (nominal catch and catch-and-effort by fishing mode) were downloaded.
step3: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step4: The code list was integrated into the Sardara database",,flag.flag_iccat_from_ncandcas,
gear_iccat,Code list for gears used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-14,,,,,,ICCAT,"step1: The code list of gears released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for gears used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for gears in these datasets were identified. A code list for gears was reconstitued.
step4: The code list was integrated into the Sardara database",,gear.gear_iccat,
geargroup_iccat,Codes used for groups of gears in ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-05-13,,,,,,ICCAT,"step1: The code list of gears released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for groups of gears used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for groups of gears in these datasets were identified. A code list for groups of gears was reconstitued.
step4: The code list was integrated into the Sardara database",,gear.geargroup_iccat,
schooltype_iccat,Code list for types of schools used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input various ICCAT public domain datasets.,,2017-03-01,,,,,,ICCAT,"step1: The ICCAT public domain catch-and-effort by fishing mode (Task II catch/effort by operation mode [Fad/Free school] (only tropicals)) was downloaded.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of school was reconstitued.
step3: The code list was integrated into the Sardara database",,schooltype.schooltype_iccat,
species_iccat,Code list for species used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for species used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-10,,,https://www.iccat.int/en/Stat_Codes.htm,,,ICCAT,"step1: The code list of species released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for species used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step4: The code list was integrated into the Sardara database",,species.species_iccat,
areas_task1_iotc,Areas used in the Nominal catches (task 1) dataset of the IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,The areas used in the nominal catches (task 1) dataset of the Indian Ocean Tuna Commission (IOTC). These areas are the FAO fishing areas F51 and F57.,,2016-03-25,,,,,,IOTC,"http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28


step1: The IOTC task 1 (nominal catch) public domain datasets was downloaded on the IOTC website.
step2: The codes and labels used for areas in these datasets were identified. A code list for areas was reconstitued.
step3: These areas correspond to the FAO fishing areas, hence, the geographical component of the code list was reconstitued from the FAO fishing area geospatial code list available and downlaoded here: http://www.fao.org/geonetwork/srv/en/main.home?uuid=ac02a460-da52-11dc-9d70-0017f293bd28
step4: The code list was integrated into the Sardara database",,area.areas_task1_iotc,
catchtype_iotc,Code list for types of catch used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for types of catches used by the Indian Ocean Tuna Commission (IOTC). Presently, the IOTC does not have any catch type code list, since the public datasets do not have a catch type detail. This table was created by the database manager in order to standardize the organization of the code lists and to facilitate the integration of the data within the Sardara database.",,2016-04-05,,,,,,IOTC,"step1: The code list was constitued. 
step2: The code list was integrated into the Sardara database",,catchtype.catchtype_iotc,
effortunit_iotc,Code list for units of fishing effort used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-11,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_iotc,
flag_iotc,Code list for flags used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-11,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step3: The code list was integrated into the Sardara database",,flag.flag_iotc,
gear_iotc,Code list for gears used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-14,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.gear_iotc,
geargroup_iotc,Codes used for groups of gears in IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-05-13,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for groups of gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.geargroup_iotc,
