persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,source_dataset_path_dataset
cwp_grid,Areal grid system recommended by the Coordinating Working Party on Fishery Statistics (CWP).,FAO-HQ@fao.org,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CWP-Secretariat@fao.org,CWP-Secretariat@fao.org,ird@ird.fr,paul.taconet@ird.fr,,,"Recognizing the need for areal breakdown, the CWP has suggested that a graticule-based system could be used throughout the globe and has recommended that the quadrangles (also called rectangles or squares) be coded and identified according to the following standard rules:

a) the identification of the latitude should be given before that of the longitude;

b) each quadrangle (rectangle) should be identified by its graticule-based boundaries as defined by the latitude and the longitude meeting in its corner nearest to the point where the Equator is crossed by the Greenwich Meridian;

c) the foregoing data on latitude and longitude should be preceded by (i) the first digit identifying the size of the quadrangle and then by (ii) a second digit indicating the quadrant of the globe in which the quadrangle is located.

More detail here: http://www.fao.org/fishery/cwp/handbook/G/en",,2016-03-25,,,http://www.fao.org/fishery/cwp/handbook/G/en,,,FAO,"step1: The areal grid was built following the CWP recommendations available here: http://www.fao.org/fishery/cwp/handbook/G/en .
step2: The code list was integrated into the Sardara database.",,area.cwp_grid,http://data.d4science.org/NTRscGpiVDhPSGxoTmppdjlsK0l0c21PVnNIaWR6R2ZHbWJQNStIS0N6Yz0
effortunit_ccsbt,Code list for units of fishing effort used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_ccsbt,http://data.d4science.org/Y2pjYXBtOFZ3TkpoTmppdjlsK0l0Z2xMVFkyNlJWRDVHbWJQNStIS0N6Yz0
effortunit_iattc,Code list for units of fishing effort used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input various IATTC public domain datasets.,,2016-03-11,,,,,,IATTC,"step1: The IATTC public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_iattc,http://data.d4science.org/aU1jaFNzWXkyQWhoTmppdjlsK0l0bmNCTE55enFQZThHbWJQNStIS0N6Yz0
effortunit_iccat,Code list for units of fishing effort used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-11,,,https://www.iccat.int/en/Stat_Codes.htm,,,ICCAT,"step1: The code list of units of efforts released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for units of efforts used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for species in these datasets were identified. A code list for species was reconstitued.
step4: The code list was integrated into the Sardara database",,unit.effortunit_iccat,http://data.d4science.org/ZDRmcElvaDR5UnhoTmppdjlsK0l0a291RmJ1N1FiajNHbWJQNStIS0N6Yz0
effortunit_iotc,Code list for units of fishing effort used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-11,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_iotc,http://data.d4science.org/bjdzNHhka3p6M2RoTmppdjlsK0l0cDFYM2FXa3FlL1FHbWJQNStIS0N6Yz0
effortunit_rfmos,Code list for units of fishing effort used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas. This code list is the unique combination of the codes of units of fishing effort coming from the 5 tuna RFMOs (one single code was kept for each unit of fishing effort to create this code list).,,2016-03-11,,,,,,IRD,"step1: All the codes of units of fishing effort coming from the 5 tuna RFMOs were collated.
step2: The unique combination of these codes was manually extracted, i.e. one single code was kept for each unit of fishing effort. 
step3: The resulting CSV file was integrated into the Sardara database.",,unit.effortunit_rfmos,http://data.d4science.org/T0dNdDY2aEIzUzFoTmppdjlsK0l0bVhYU0JuZjl0ek1HbWJQNStIS0N6Yz0
effortunit_wcpfc,Code list for units of fishing effort used in by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of fishing effort used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.,,2016-03-11,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for units of efforts in these datasets were identified. A code list for units of efforts was reconstitued.
step3: The code list was integrated into the Sardara database",,unit.effortunit_wcpfc,http://data.d4science.org/Smw5Q25iekZTeEJoTmppdjlsK0l0bW5TSXFzNU1wdU5HbWJQNStIS0N6Yz0
flag_ccsbt,Code list for flags used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-03-22,,,https://www.ccsbt.org/en/content/sbt-data,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step3: The code list was integrated into the Sardara database",,flag.flag_ccsbt,http://data.d4science.org/REJON0dLWUZ5ZTloTmppdjlsK0l0cVI1SHlnOXdoUUlHbWJQNStIS0N6Yz0
flag_fao_cwp,Standard country or area codes for statistical use,ird@ird.fr,statistics@un.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,,statistics@un.org,statistics@un.org,paul.taconet@ird.fr,,,"The list of countries or areas contains the names of countries or areas in alphabetical order, their three-digit numerical codes used for statistical processing purposes by the Statistics Division of the United Nations Secretariat, and their three-digit alphabetical codes assigned of the International Organization for Standardization (ISO).1 In general, this list of countries or areas includes those countries or areas for which statistical data are compiled by the Statistics Division of the United Nations Secretariat.

The names of countries or areas refer to their short form used in day-to-day operations of the United Nations and not necessarily to their official name as used in formal documents. These names are based on the United Nations Terminology Database (UNTERM).2 The designations employed and the presentation of material at this site do not imply the expression of any opinion whatsoever on the part of the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries.",,2016-03-14,,,http://www.fao.org/fishery/cwp/handbook/D/en,,,FAO,"step1: The code list was downloaded on the 2016-03-14 at this url: ftp://ftp.fao.org/FI/DOCUMENT/cwp/handbook/country.pdf reached through this web page: http://www.fao.org/fishery/cwp/handbook/D/en 
step2: The code list was transformed in CSV format.
step3: A column named continent_sting containing the label of the continent associated to the country or area was added to the code list.
step4: The code list was integrated into the Sardara database.",,flag.flag_fao_cwp,http://data.d4science.org/UUE5cDVTdFBaYTVoTmppdjlsK0l0aW45eUQ3bE11NG9HbWJQNStIS0N6Yz0
flag_iattc,Code list for flags used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Inter-American Tropical Tuna Commission (IATTC). This code list was downloaded in the the IATTC website.,,2016-03-11,,,http://www.iattc.org/Standard-Codes/StdFlgCodes1.htm,,,IATTC,"step1: The code list of flags released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdFlgCodes1.htm was downloaded.
step2: The code list was integrated into the Sardara database",,flag.flag_iattc,http://data.d4science.org/S0dJV0E2RlpkeFZoTmppdjlsK0l0bnhxNlk3amJZSGdHbWJQNStIS0N6Yz0
flag_iccat,Code list for flags used by ICCAT in catch-and_effort (task2) datasets,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) in the catch-and-effort (task 2) datasets. This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-11,,,https://www.iccat.int/en/Stat_Codes.htm,,,ICCAT,"step1: The code list of flags released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: The ICCAT public domain catch-and-effort (task2) was downloaded.
step3: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step4: The code list was integrated into the Sardara database",,flag.flag_iccat,http://data.d4science.org/cDU0cExnU3IySTFoTmppdjlsK0l0djdLY1J0ZjMrbUFHbWJQNStIS0N6Yz0
flag_iccat_from_ncandcas,Code list for flags used by ICCAT in catch-and_effort by fishing mode (task2 catch/effort by operation mode) and nominal catch (task1) datasets,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for flags used by the International Commission for the Conservation of Atlantic Tunas (ICCAT) in the nominal catch (task 1), catch-at-size and catch-and-effort (task2) by fishing mode datasets. This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.",,2016-07-04,,,,,,ICCAT,"step1: The code list of flags released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: The ICCAT public domain datasets (nominal catch and catch-and-effort by fishing mode) were downloaded.
step3: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step4: The code list was integrated into the Sardara database",,flag.flag_iccat_from_ncandcas,http://data.d4science.org/aGlRcjZqcmxDWTVoTmppdjlsK0l0cTB1MXp2TFJFV29HbWJQNStIS0N6Yz0
flag_iotc,Code list for flags used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-11,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step3: The code list was integrated into the Sardara database",,flag.flag_iotc,http://data.d4science.org/aE9VTVQ5ZUptNHhoTmppdjlsK0l0dkJoVmV0ekhtSi9HbWJQNStIS0N6Yz0
flag_wcpfc,Code list for flags used by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for flags used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.,,2016-03-11,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for flags in these datasets were identified. A code list for flags was reconstitued.
step3: The code list was integrated into the Sardara database",,flag.flag_wcpfc,http://data.d4science.org/Q1RDenllQXVzK0ZoTmppdjlsK0l0dW9PZDR5L2JJMmRHbWJQNStIS0N6Yz0
gear_ccsbt,Code list for fising gears used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of efforts used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-04-13,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for fising gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.gear_ccsbt,http://data.d4science.org/WW5QNzlkUk0wbTVoTmppdjlsK0l0aEV0cUY5RUJzTS9HbWJQNStIS0N6Yz0
gear_iattc,Code list for fishing gears used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets.,,2016-03-14,,,,,,IATTC,"step1: The code list of fishing gears released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdGearCodes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for fishing gears used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for fishing gears in these datasets were identified. A code list for gear was reconstitued.
step4: The code list was integrated into the Sardara database",,gear.gear_iattc,http://data.d4science.org/L2JtdFJxSDZEQVpoTmppdjlsK0l0Z3V0b1FpZkxjMzVHbWJQNStIS0N6Yz0
gear_iccat,Code list for gears used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-14,,,,,,ICCAT,"step1: The code list of gears released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for gears used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for gears in these datasets were identified. A code list for gears was reconstitued.
step4: The code list was integrated into the Sardara database",,gear.gear_iccat,http://data.d4science.org/THZPNWdSZ0VyUWxoTmppdjlsK0l0dXgrZ3YrMGliV0JHbWJQNStIS0N6Yz0
gear_iotc,Code list for gears used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-14,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.gear_iotc,http://data.d4science.org/dWdMRHlrdDRrWEZoTmppdjlsK0l0cmhUNG9DWFdMb3dHbWJQNStIS0N6Yz0
gear_wcpfc,Code list for fishing gears used by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for fishing gears used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.,,2016-03-14,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for fishing gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Sardara database",,gear.gear_wcpfc,http://data.d4science.org/YStqemFVNUZObEJoTmppdjlsK0l0c3Y1akhFMnBNZHpHbWJQNStIS0N6Yz0
geargroup_iattc,Codes used for groups of gears in IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for groups of gears used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets. Since IATTC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.",,2016-05-13,,,,,,IATTC,"step1: The code list of fishing gears released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdGearCodes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for fishing gears used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for fishing gears in these datasets were identified. A code list for gears was reconstitued. Since IATTC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.
step4: The code list was integrated into the Sardara database",,gear.geargroup_iattc,http://data.d4science.org/eWthMS9FVkdwUXRoTmppdjlsK0l0cWtlV3M5TEtIVjZHbWJQNStIS0N6Yz0
