persistent_identifier,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,year_tuna_atlas,source_dataset_title,source_dataset_format,source_dataset_path_dataset,source_dataset_path_harmonization_script,source_dataset_path_csv_codelists
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__billfish_bySchool,Monthly catch of billfishes in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by type of school (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasIATTC_level0__billfish_bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__billfish_bySchool,Monthly fishing effort targeting billfishes in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by type of school (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasIATTC_level0__billfish_bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__shark_byFlag,Monthly catch of sharks in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasIATTC_level0__shark_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__shark_byFlag,Monthly fishing effort targeting sharks in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasIATTC_level0__shark_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__shark_bySchool,Monthly catch of sharks in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by type of school (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasIATTC_level0__shark_bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__shark_bySchool,Monthly fishing effort targeting sharks in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by type of school (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasIATTC_level0__shark_bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__tuna_byFlag,Monthly catch of tunas in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasIATTC_level0__tuna_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__tuna_byFlag,Monthly fishing effort targeting tunas in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by flag (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasIATTC_level0__tuna_byFlag,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__tuna_bySchool,Monthly catch of tunas in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by type of school (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasIATTC_level0__tuna_bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__tuna_bySchool,Monthly fishing effort targeting tunas in the East Pacific Ocean (%date_start%-%date_end%) by purse seiners aggregated by 1° squares and by type of school (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasIATTC_level0__tuna_bySchool,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_5deg_1m_ll_tunaatlasIATTC_level0__shark,Monthly catch of shark species in the East Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_5deg_1m_ll_tunaatlasIATTC_level0__shark,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_5deg_1m_ll_tunaatlasIATTC_level0__shark,Monthly fishing effort targeting shark species in the East Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_5deg_1m_ll_tunaatlasIATTC_level0__shark,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_catch_5deg_1m_ll_tunaatlasIATTC_level0__tuna_billfish,Monthly catch of tuna and tuna-like species in the East Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_5deg_1m_ll_tunaatlasIATTC_level0__tuna_billfish,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_effort_5deg_1m_ll_tunaatlasIATTC_level0__tuna_billfish,Monthly fishing effort targeting tuna and tuna-like species in the East Pacific Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_5deg_1m_ll_tunaatlasIATTC_level0__tuna_billfish,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoRlRZQmRVVms0bldHbWJQNStIS0N6Yz0
east_pacific_ocean_nominal_catch_tunaatlasIATTC_level0,Annual catch of tuna and tuna-like species in the East Pacific Ocean (%date_start%-%date_end%) (IATTC level 0),,,,,,,,,,,,,,,,,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_nominal_catch_tunaatlasIATTC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/east_pacific_ocean_nominal_catch_tunaatlasiattc_level0.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoQnd1TmNielBDRldHbWJQNStIS0N6Yz0
indian_ocean_catch_ll_tunaatlasIOTC_level0,"Monthly catch of tuna, tuna-like and shark species in the Indian Ocean (%date_start%-%date_end%) by longliners aggregated by 5° squares (IOTC level 0)",,,,,,,,,,,,,,,,,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iotc.ind_catch_ll_tunaatlasIOTC_level0,,,,,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/sardara_world/transform_trfmos_data_structure/indian_ocean_catch_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/TDFYZkJTZWM1SHhSLzcybU4zRmJoT0FkQ244K1BVQ3NHbWJQNStIS0N6Yz0
