persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_codelists_used_in_dataset,path_to_script_dataset_generation,parameter_path_to_raw_dataset,parameter_path_to_effort_dataset,parameter_spatial_stratification
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__shark_byschool,raw_dataset,Monthly fishing effort targeting sharks in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by type of school (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing effort targeting shark species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1993 to 2015. Efforts are stratified by year, month, fishing gear, fishing mode (i.e. type of school used), unit of effort and area (statistical squares of 1° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of sets.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by vessel flag reporting country is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members.

Estimated East Pacific Ocean shark bycatch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSShark.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasiattc_level0__shark_byschool,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/UmY4Z2duUkFRWnF6R2hYM1ZXaElmdVdJekhGWDd4TTdHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__tuna_byflag,raw_dataset,Monthly catch of tunas in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by flag (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated catch of tuna species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1958 to 2015. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country and area (statistical squares of 1° longitude and latitude). It corresponds to the catch part of the IATTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by fishing mode (i.e. type of school used) is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members. The data on catch are recorded by on-board observers at sea, or abstracted from vessel logbooks when observer data are not available. The data on catch weight and species composition are not adjusted by data from other sources, such as unloadings or sets for which catch data is not available

Estimated EPO tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm). In accordance with the IATTC policy on confidentiality, data from flags with less than 3 vessels or less than 3 companies are grouped in the “Other” category in the “Flag” column.",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSTuna.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasiattc_level0__tuna_byflag,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dkhxdEQxZEd5QTJ6R2hYM1ZXaElmbFRrQWdPVTZkQ1VHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__tuna_byflag,raw_dataset,Monthly fishing effort targeting tunas in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by flag (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing effort targeting tuna species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1958 to 2015. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, unit of effort and area (statistical squares of 1° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of sets.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by fishing mode (i.e. type of school used) is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members.

Estimated EPO tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm). In accordance with the IATTC policy on confidentiality, data from flags with less than 3 vessels or less than 3 companies are grouped in the “Other” category in the “Flag” column.",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSTuna.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasiattc_level0__tuna_byflag,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dkhxdEQxZEd5QTJ6R2hYM1ZXaElmbFRrQWdPVTZkQ1VHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__tuna_byschool,raw_dataset,Monthly catch of tunas in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by type of school (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated catch of tuna species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1958 to 2015. Species-specific catches are stratified by year, month, fishing gear, fishing mode (i.e. type of school used) and area (statistical squares of 1° longitude and latitude). It corresponds to the catch part of the IATTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by vessel flag reporting country is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members. The data on catch are recorded by on-board observers at sea, or abstracted from vessel logbooks when observer data are not available. The data on catch weight and species composition are not adjusted by data from other sources, such as unloadings or sets for which catch data is not available

Estimated EPO tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSTuna.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_1deg_1m_ps_tunaatlasiattc_level0__tuna_byschool,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/T1dESllJQ1RocTZ6R2hYM1ZXaElmbmpzcUwwL1dXZDFHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__tuna_byschool,raw_dataset,Monthly fishing effort targeting tunas in the East Pacific Ocean (%year_start%-%year_end%) by purse seiners aggregated by statistical squares of 1° longitude and latitude and by type of school (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing efforts targeting tuna species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by purse seiners from 1958 to 2015. Efforts are stratified by year, month, fishing gear, fishing mode (i.e. type of school used), unit of effort and area (statistical squares of 1° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of sets.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

Stratification by vessel flag reporting country is not available in this dataset, since IATTC confidentiality policy restricts the release of public domain data by both flag and set type. 

The file contain data provided by Members and Cooperating Non-Members.

Estimated EPO tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-04-01,2017-03-07,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/PublicPSTuna.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_1deg_1m_ps_tunaatlasiattc_level0__tuna_byschool,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/T1dESllJQ1RocTZ6R2hYM1ZXaElmbmpzcUwwL1dXZDFHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0__shark,raw_dataset,Monthly catch of shark species in the East Pacific Ocean (%year_start%-%year_end%) by longliners aggregated by statistical squares of 5° longitude and latitude (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated catch of shark species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by longliners from 1979 to 2015. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country and area (statistical squares of 5° longitude and latitude). It corresponds to the catch part of the IATTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

The file contain data provided by Members and Cooperating Non-Members. No attempt has been made to convert numbers to weight or weight to numbers.

Estimated East Pacific Ocean tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-12-01,2017-08-17,,,Asked to and provided by Nick Vogel by e-mail,,,IATTC,"step1: The dataset was sent by the data manager on the %date_download%
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_5deg_1m_ll_tunaatlasiattc_level0__shark,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/QnR6NEUveTNlTit6R2hYM1ZXaElma1h5UlJaYmpSQVJHbWJQNStIS0N6Yz0,http://data.d4science.org/anNzR0dWUjZBb1d6R2hYM1ZXaElmbU0wOVNJVTMyS1pHbWJQNStIS0N6Yz0,
east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0__shark,raw_dataset,Monthly fishing effort targeting shark species in the East Pacific Ocean (%year_start%-%year_end%) by longliners aggregated by statistical squares of 5° longitude and latitude (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing effort targeting shark species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by longliners from 1979 to 2015. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, unit of effort and area (statistical squares of 5° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of hooks.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

The file contain data provided by Members and Cooperating Non-Members.

Estimated East Pacific Ocean tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-12-01,2017-08-17,,,Asked to and provided by Nick Vogel by e-mail,,,IATTC,"step1: The dataset was sent by the data manager on the %date_download%
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_5deg_1m_ll_tunaatlasiattc_level0__shark,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/anNzR0dWUjZBb1d6R2hYM1ZXaElmbU0wOVNJVTMyS1pHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0__tuna_billfish,raw_dataset,Monthly catch of tuna and tuna-like species in the East Pacific Ocean (%year_start%-%year_end%) by longliners aggregated by statistical squares of 5° longitude and latitude (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated catch of tuna and tuna-like species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by longliners from 1954 to 2015. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country and area (statistical squares of 5° longitude and latitude). It corresponds to the catch part of the IATTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

The file contain data provided by Members and Cooperating Non-Members. No attempt has been made to convert numbers to weight or weight to numbers.

Estimated East Pacific Ocean tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-12-01,2017-03-24,,,Asked to and provided by Nick Vogel by e-mail,,,IATTC,"step1: The dataset was sent by the data manager on the %date_download%
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_catch_5deg_1m_ll_tunaatlasiattc_level0__tuna_billfish,http://data.d4science.org/MForaHVJTUtEbCtZdFBua3lVbFNXSmVmMjdMSk9yVFhHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/V3ZvT0t2KzNQSE96R2hYM1ZXaElmaFBCMUxPWVVDOFFHbWJQNStIS0N6Yz0,http://data.d4science.org/V3ZvT0t2KzNQSE96R2hYM1ZXaElmcXlBb0ZnUWJqb21HbWJQNStIS0N6Yz0,
east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0__tuna_billfish,raw_dataset,Monthly fishing effort targeting tuna and tuna-like species in the East Pacific Ocean (%year_start%-%year_end%) by longliners aggregated by statistical squares of 5° longitude and latitude (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the monthly-spatially aggregated fishing effort targeting tuna and tuna-like species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) by longliners from 1954 to 2015. Efforts are stratified by year, month, fishing gear, vessel flag reporting country, unit of effort and area (statistical squares of 5° longitude and latitude). It corresponds to the effort part of the IATTC catch-and-effort (task2) dataset.

Efforts are expressed in number of hooks.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IATTC web page where the dataset has been downloaded.


Characteristics, specific issues and problems that need to be taken into account :

The file contain data provided by Members and Cooperating Non-Members.
Estimated East Pacific Ocean tuna catch totals are presented in the IATTC Fishery Status Reports (http://www.iattc.org/FisheryStatusReportsENG.htm).",2016-12-01,2017-03-24,,,Asked to and provided by Nick Vogel by e-mail,,,IATTC,"step1: The dataset was sent by the data manager on the %date_download%
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.effort,tunaatlas_iattc.epo_effort_5deg_1m_ll_tunaatlasiattc_level0__tuna_billfish,http://data.d4science.org/cHlnTlZhTlNmeXVZdFBua3lVbFNXQkdNN0FHZThINjZHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/V3ZvT0t2KzNQSE96R2hYM1ZXaElmcXlBb0ZnUWJqb21HbWJQNStIS0N6Yz0,,
east_pacific_ocean_nominal_catch_tunaatlasiattc_level0,raw_dataset,Annual catch of tuna and tuna-like species in the East Pacific Ocean (%year_start%-%year_end%) (IATTC level 0),ird@ird.fr,nvogel@iattc,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,info@iattc.org,nvogel@iattc,ird@ird.fr,paul.taconet@ird.fr,nvogel@iattc,,"This dataset lists the annually-spatially aggregated catch of tuna and tuna-like species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) from 1918 to 2015. Species-specific catches are stratified by year, fishing gear, vessel flag reporting country. It corresponds to the IATTC nominal catch (task1) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.",2016-12-01,2017-03-06,,,http://www.iattc.org/Catchbygear/IATTC-Catch-by-species1.htm,http://www.iattc.org/Catchbygear/CatchByFlagGear.zip,,IATTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iattc.epo_nominal_catch_tunaatlasiattc_level0,http://data.d4science.org/NkxDaEZpdXgzcUtZdFBua3lVbFNXSEcza1MvU2JETG5HbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_nominal_catch_tunaatlasiattc_level0.R,http://data.d4science.org/a00rRXhLUnQ5WEt6R2hYM1ZXaElmdWJUTjRZTGl3QlVHbWJQNStIS0N6Yz0,,
indian_ocean_catch_ll_tunaatlasiotc_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Indian Ocean (%year_start%-%year_end%) by longliners aggregated by statistical squares of 5° longitude and latitude (IOTC level 0)",ird@ird.fr,fabio.fiorellato@iotc.org,paul.taconet@ird.fr;emmanuel.blondel@fao.org;julien.barde@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,fabio.fiorellato@iotc.org,,"This dataset lists the monthly-spatially aggregated catch of tuna, tuna-like and shark species from the Indian Ocean Tuna Commission (IOTC) by longliners from 1952 to 2015. Species-specific catches are stratified by year, month, fishing gear, vessel flag reporting country,
area (mainly statistical squares of 5° longitude and latitude). It corresponds to the catch part of the IOTC catch-and-effort (task2) dataset.

This dataset was downloaded on the IOTC website. It was then restructured to be in line with the Tuna atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.

The description below is extracted from the IOTC web page where the dataset has been downloaded.

Characteristics, specific issues and problems that need to be taken into account :

Catches and effort are not available for all Nominal catches strata. When recorded, the catches in these datasets might represent the total catches of the species in the year for the fleet and gear concerned or represent simply a sample of those.
These data are considered to be in the public domain, provided that the catch of no individual vessel can be identified within a time/area stratum. In cases when an individual vessel can be identified, the data are aggregated prior to release by timeand area or flag to preclude such identification, and will then be in the public domain.
Catch-and-effort and length-frequency data grouped at a finer level of time-area stratification are only released with written authorization from the sources of the data and are subject to a number of constraints destined to preserve confidentiality.",2016-08-03,2017-03-07,,,http://iotc.org/data/datasets,http://iotc.org/sites/default/files/documents/2016/08/IOTC-2016-DATASETS-CELongline.zip,,IOTC,"step1: The dataset was downloaded on the %date_download% at this URL: %relation_source_dataset% reached through this web page: %relation_source_download% 
step2: Through a dedicated R script, the dataset was restructured to be in line with the Tuna Atlas database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.
step3: The dataset was exported in CSV format.
step4: The CSV file was integrated into the Tuna Atlas database.",,fact_tables.catch,tunaatlas_iotc.ind_catch_ll_tunaatlasiotc_level0,http://data.d4science.org/VHFWeVBqQ3FIeDZZdFBua3lVbFNXSjNuMHJuamFNWWxHbWJQNStIS0N6Yz0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_catch_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/b3hCT0lSNkxnT2V6R2hYM1ZXaElmdmZPVHgxWHVXRUNHbWJQNStIS0N6Yz0,,
